"","week","age_group","total_vaccinated","perc_doses"
"207",2021-09-26,"18-49 years",128675,0.00998208383709208
"208",2021-09-26,"50-64 years",31841,0.0052093635368766
"209",2021-09-26,"65-74 years",15993,0.00517892601645288
"210",2021-09-26,"75+ years",9358,0.00453737491672429
"211",2021-10-03,"0-17 years",26784,0.00974760813479824
"212",2021-10-03,"18-49 years",113981,0.00884218300241378
"213",2021-10-03,"50-64 years",28608,0.00468042687299287
"214",2021-10-03,"65-74 years",13550,0.00438782264258966
"215",2021-10-03,"75+ years",8087,0.00392111038165733
"216",2021-10-10,"0-17 years",23030,0.00838139991578567
"217",2021-10-10,"18-49 years",104595,0.00811405524725585
"218",2021-10-10,"50-64 years",26695,0.00436744950274555
"219",2021-10-10,"65-74 years",11313,0.00366342712587578
"220",2021-10-10,"75+ years",6969,0.00337903032642141
"221",2021-10-17,"0-17 years",22127,0.00805276751787189
"222",2021-10-17,"18-49 years",95676,0.00742215545519815
"223",2021-10-17,"50-64 years",25453,0.00416425144009674
"224",2021-10-17,"65-74 years",12138,0.00393058237902239
"225",2021-10-17,"75+ years",7787,0.00377565061728275
"226",2021-10-24,"0-17 years",21623,0.00786934478415257
"227",2021-10-24,"18-49 years",91942,0.00713248690227255
"228",2021-10-24,"50-64 years",28796,0.00471118471178351
"229",2021-10-24,"65-74 years",20995,0.00679869641189446
"230",2021-10-24,"75+ years",14760,0.00715662040722916
"231",2021-10-31,"0-17 years",19869,0.00723100455608969
"232",2021-10-31,"18-49 years",96151,0.00745900402580331
"233",2021-10-31,"50-64 years",30871,0.00505066617715893
"234",2021-10-31,"65-74 years",20009,0.00647940540631561
"235",2021-10-31,"75+ years",13680,0.00663296525548068
"236",2021-11-07,"0-17 years",16965,0.00617414023323074
"237",2021-11-07,"18-49 years",86592,0.00671745563335129
"238",2021-11-07,"50-64 years",29151,0.00476926467332967
"239",2021-11-07,"65-74 years",17215,0.00557463961565912
"240",2021-11-07,"75+ years",11450,0.00555171434029633
"241",2021-11-14,"0-17 years",15240,0.00554635409103663
"242",2021-11-14,"18-49 years",81844,0.00634912507917594
"243",2021-11-14,"50-64 years",31155,0.00509713014639586
"244",2021-11-14,"65-74 years",16260,0.0052653871711076
"245",2021-11-14,"75+ years",10624,0.005151215122385
"246",2021-11-21,"0-17 years",39335,0.014315343712003
"247",2021-11-21,"18-49 years",62057,0.00481412999167222
"248",2021-11-21,"50-64 years",22520,0.00368439643385764
"249",2021-11-21,"65-74 years",9651,0.00312523072499135
"250",2021-11-21,"75+ years",6194,0.00300325926845375
"251",2021-11-28,"0-17 years",243229,0.088519301785351
"252",2021-11-28,"18-49 years",86317,0.00669612225036936
"253",2021-11-28,"50-64 years",32193,0.00526695268184631
"254",2021-11-28,"65-74 years",13806,0.00447072172720243
"255",2021-11-28,"75+ years",8817,0.0042750624749688
"256",2021-12-05,"0-17 years",201115,0.0731925854999234
"257",2021-12-05,"18-49 years",81855,0.00634997841449522
"258",2021-12-05,"50-64 years",30094,0.00492354468385932
"259",2021-12-05,"65-74 years",11834,0.00383213971604473
"260",2021-12-05,"75+ years",7140,0.00346194239211492
"261",2021-12-12,"0-17 years",121345,0.044161570680895
"262",2021-12-12,"18-49 years",69287,0.00537500402425179
"263",2021-12-12,"50-64 years",25369,0.00415050857595624
"264",2021-12-12,"65-74 years",9576,0.00310094388379621
"265",2021-12-12,"75+ years",5781,0.00280300965949809
"266",2021-12-19,"0-17 years",71008,0.0258422251506778
"267",2021-12-19,"18-49 years",54798,0.00425100625688729
"268",2021-12-19,"50-64 years",18741,0.00306613115306066
"269",2021-12-19,"65-74 years",7005,0.00226839096762661
"270",2021-12-19,"75+ years",4388,0.0021275914869188
"271",2021-12-26,"0-17 years",78477,0.0285604481628794
"272",2021-12-26,"18-49 years",57503,0.0044608491694914
"273",2021-12-26,"50-64 years",18677,0.0030556603994298
"274",2021-12-26,"65-74 years",6412,0.00207636300991033
"275",2021-12-26,"75+ years",3751,0.00181873192056345
